Designator,Mid X,Mid Y,Rotation,Layer
C1,51.014,5.842,180.0,top
C10,24.13,5.588,180.0,top
C11,23.114,20.788,90.0,top
C12,25.908,22.392,270.0,top
C2,58.928,18.542,180.0,top
C3,43.434,24.13,180.0,top
C4,36.108,24.13,0.0,top
C5,43.688,5.842,0.0,top
C6,49.316,18.542,0.0,top
C7,22.098,2.794,180.0,top
C8,16.51,5.588,0.0,top
C9,16.099613,11.684,180.0,top
D1,57.917,44.958,0.0,top
D2,52.827,44.958,180.0,top
J1,36.815,2.515,90.0,top
J2,30.196,50.775,90.0,top
J3,57.125,2.515,90.0,top
J4,54.595,50.775,90.0,top
J5,35.732,35.839,0.0,top
J6,4.572,6.7133,0.0,top
J7,64.902,27.955,0.0,top
R1,56.388,21.336,0.0,top
R2,65.786,16.51,90.0,top
R3,55.372,39.624,180.0,top
SW1,4.878,49.494,180.0,top
U1,22.86,11.684,270.0,top
U2,44.968,12.202,270.0,top
U3,10.836,20.574,90.0,top
Y1,39.878,20.066,0.0,top
